m2_plane,m2_roi,col,row,z_old,best_z,z_activity,z_parallax,z_source,parallax_rms_px,best_r,n_pass,primary_view,r_v1,r_v2,r_v3,r_v4,plane_z_prior
19,16,102.11754303321416,46.42341284857096,-1.0,-8.0,-6.0,-8.0,parallax,1.0066289992033548,0.8231639040224609,4,1,0.7245159806767888,0.7717768358237621,0.8231639040224609,0.757434547592812,-5.0
19,18,165.7945626599199,7.377814653619705,-5.0,-2.0,-8.0,-2.0,parallax,1.9758157195405495,0.7842754840023711,4,3,0.5840273132459323,0.7842754840023711,0.7658710853325931,0.7103941828768596,-5.0
19,19,33.66258132745103,248.4376094164502,7.0,-4.0,0.0,-4.0,parallax,2.4617616772835937,0.893286453250284,4,1,0.8046795062532375,0.7708322263670961,0.7639315945605588,0.893286453250284,-5.0
19,23,108.34618635868293,194.22906145561896,-3.0,-6.0,-4.0,-6.0,parallax,1.0738191361444072,0.7870560396674223,4,2,0.7000005032206947,0.6623744019697979,0.7692152320409199,0.7870560396674223,-5.0
19,24,23.038714623394878,172.58786540234186,9.0,0.0,0.0,0.0,parallax,1.3228756555322954,0.879666059664118,4,4,0.8172253778234538,0.8682436352130151,0.8744100064992943,0.879666059664118,-5.0
19,25,170.75417658279054,49.82667698140395,-5.0,0.0,2.0,0.0,parallax,1.1897226478653422,0.5918762683634299,4,3,0.5156353132488777,0.5158872582161,0.5918762683634299,0.5858411297950461,-5.0
19,28,30.099976394424743,71.325466617104,-3.0,-4.0,-6.0,-4.0,parallax,1.333188609016704,0.7329707438155663,4,2,0.651578115112156,0.7146913143446885,0.7329707438155663,0.677402998110601,-5.0
19,30,75.62090725257075,27.50402283190156,-7.0,-10.0,-2.0,-10.0,parallax,1.081512916082968,0.7583114017147201,4,1,0.6812938019470561,0.6606163159219715,0.7583114017147201,0.7062753832527853,-5.0
19,32,44.904858678576176,175.1346847299061,5.0,-2.0,0.0,-2.0,parallax,1.2614775552181523,0.733819428209788,4,3,0.5812610471935103,0.5734773698817334,0.6582840525980936,0.733819428209788,-5.0
19,34,101.66836765078722,108.30441773765142,-3.0,-6.0,-8.0,-6.0,parallax,1.6474864982863981,0.6505651429257756,4,3,0.4147119955163766,0.536455059727266,0.6505651429257756,0.45009448522491535,-5.0
19,35,172.05143589410466,59.451425264413565,-1.0,-8.0,-2.0,-8.0,parallax,1.519688514356611,0.7447578576241054,4,2,0.5948362287132225,0.5856044928298686,0.7447578576241054,0.6318647922170006,-5.0
19,43,18.655683513006114,36.10515802047146,-11.0,-8.0,-4.0,-8.0,parallax,2.1083378034647935,0.751685361463246,4,3,0.650896543976697,0.751685361463246,0.7036564706240894,0.6285826399029092,-5.0
19,45,32.85848517081788,9.384915778276852,-1.0,-2.0,-2.0,-2.0,parallax,0.8660254037844386,0.7950393138584685,4,1,0.6349669977909178,0.7758860576708274,0.7950393138584685,0.7099951849854773,-5.0
19,46,157.50292338467128,39.712964030794474,-1.0,2.0,0.0,2.0,parallax,1.7897178743421804,0.6898644630887644,4,1,0.5169263047078,0.6898644630887644,0.6849681867567233,0.6450876783017314,-5.0
19,48,79.33435011931148,222.91536222035168,1.0,4.0,0.0,4.0,parallax,1.6464435955676542,0.8196754492839673,4,2,0.6804224811961671,0.6775879617149739,0.8196754492839673,0.778560705377828,-5.0
19,51,111.57463429408593,92.51793690307453,-3.0,-4.0,2.0,-4.0,parallax,1.0636804017475254,0.6459391374071597,4,4,0.5777000892421397,0.6459391374071597,0.6124929373051075,0.5165887842010267,-5.0
19,52,69.25355995821721,172.2751789831583,1.0,0.0,0.0,0.0,parallax,1.0,0.8504575134875331,4,1,0.7211847405226097,0.7594194186204436,0.8504575134875331,0.8281562319963387,-5.0
19,53,186.43385896726556,31.339989870268482,-1.0,0.0,-2.0,0.0,parallax,1.2102820013661533,0.7751440563179948,4,2,0.6730604907730381,0.7751440563179948,0.7599762633887287,0.7062565166433323,-5.0
19,56,10.973679960541766,49.31104786929896,1.0,-10.0,-4.0,-10.0,parallax,2.285966823905555,0.6430438598577283,4,3,0.5054708008168116,0.6430438598577283,0.6335568541398989,0.4903756447312382,-5.0
19,61,167.8401435702332,148.3931663384105,1.0,-2.0,-4.0,-2.0,parallax,0.862572799082748,0.8388086445155747,4,1,0.6676093201101739,0.752617592798542,0.8388086445155747,0.7692218495474531,-5.0
19,65,38.24006383516404,29.31341888537711,-3.0,-2.0,-2.0,-2.0,parallax,1.9364916731037085,0.724291084546863,4,4,0.4146905577702498,0.6813400932491872,0.724291084546863,0.6080271067744555,-5.0
19,69,193.01316802195228,11.534568149114882,-7.0,-4.0,-4.0,-4.0,parallax,0.7071067811865476,0.7708229274376942,4,2,0.56029137927812,0.6019234522378323,0.7708229274376942,0.6343823004078142,-5.0
19,70,132.1079596982855,71.1378772169444,1.0,-6.0,0.0,-6.0,parallax,1.0519046392173983,0.7228322873794915,4,2,0.5730335340630434,0.6731668117426945,0.7228322873794915,0.5427485495117412,-5.0
