plane_id,new_roi_idx,old_roi_idx,snr,out_dir
24,99,242,2.048116721067476,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,100,254,1.4166452583219442,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
29,0,2,1.892015677259578,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,1,5,2.091256829972432,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,2,7,1.4196244446784256,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,3,9,1.3993499289195008,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,4,22,1.7567921748992155,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,5,27,1.4156322657933866,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,6,28,1.5459585504279048,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,7,29,1.5793150595372105,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,8,30,1.557793098881636,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,9,31,1.605037495689477,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,10,33,1.5656690721272013,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
29,11,36,1.6198730956005416,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane29\suite2p\plane0
