Time,Data
20231230_175451766,578.41mm;     0.00mm/s;
20231230_175451868,578.41mm;     0.00mm/s;
20231230_175451970,578.41mm;     0.00mm/s;
20231230_175452072,578.41mm;     0.00mm/s;
20231230_175452173,578.41mm;     0.00mm/s;
20231230_175452275,578.41mm;     0.00mm/s;
20231230_175452377,578.41mm;     0.00mm/s;
20231230_175452479,578.41mm;     0.00mm/s;
20231230_175452580,578.41mm;     0.00mm/s;
20231230_175452682,578.41mm;     0.00mm/s;
20231230_175452784,578.41mm;     0.00mm/s;
20231230_175452887,578.41mm;     0.00mm/s;
20231230_175452989,578.41mm;     0.00mm/s;
20231230_175453091,578.41mm;     0.00mm/s;
20231230_175453146,578.41mm;     0.00mm/s;
20231230_175453248,578.41mm;     0.00mm/s;
20231230_175453350,578.41mm;     0.00mm/s;
20231230_175453452,578.41mm;     0.00mm/s;
20231230_175453554,578.41mm;     0.00mm/s;
20231230_175453656,578.41mm;     0.00mm/s;
20231230_175453757,578.41mm;     0.00mm/s;
20231230_175453859,578.41mm;     0.00mm/s;
20231230_175453960,578.41mm;     0.00mm/s;
20231230_175454063,578.41mm;     0.00mm/s;
20231230_175454164,578.41mm;     0.00mm/s;
20231230_175454266,578.41mm;     0.00mm/s;
20231230_175454367,578.41mm;     0.00mm/s;
20231230_175454469,578.41mm;     0.00mm/s;
20231230_175454572,578.41mm;     0.00mm/s;
20231230_175454672,578.41mm;     0.00mm/s;
20231230_175454774,578.41mm;     0.00mm/s;
20231230_175454876,578.41mm;     0.00mm/s;
20231230_175454978,578.41mm;     0.00mm/s;
20231230_175455079,578.41mm;     0.00mm/s;
20231230_175455181,578.41mm;     0.00mm/s;
20231230_175455282,578.41mm;     0.00mm/s;
20231230_175455384,578.41mm;     0.00mm/s;
20231230_175455486,578.41mm;     0.00mm/s;
20231230_175455588,578.41mm;     0.00mm/s;
20231230_175455690,578.41mm;     0.00mm/s;
20231230_175455741,578.41mm;     0.00mm/s;
20231230_175455844,578.41mm;     0.00mm/s;
20231230_175455946,578.41mm;     0.00mm/s;
20231230_175456048,578.41mm;     0.00mm/s;
20231230_175456149,578.41mm;     0.00mm/s;
20231230_175456250,578.41mm;     0.00mm/s;
20231230_175456352,578.41mm;     0.00mm/s;
20231230_175456454,578.41mm;     0.00mm/s;
20231230_175456555,578.41mm;     0.00mm/s;
20231230_175456657,578.41mm;     0.00mm/s;
20231230_175456759,578.41mm;     0.00mm/s;
20231230_175456861,578.41mm;     0.00mm/s;
20231230_175456963,578.41mm;     0.00mm/s;
20231230_175457064,578.41mm;     0.00mm/s;
20231230_175457166,578.41mm;     0.00mm/s;
20231230_175457267,578.41mm;     0.00mm/s;
20231230_175457368,578.41mm;     0.00mm/s;
20231230_175457470,578.41mm;     0.00mm/s;
20231230_175457572,578.41mm;     0.00mm/s;
20231230_175457673,578.41mm;     0.00mm/s;
20231230_175457774,578.41mm;     0.00mm/s;
20231230_175457875,578.41mm;     0.00mm/s;
20231230_175457977,578.41mm;     0.00mm/s;
20231230_175458078,578.41mm;     0.00mm/s;
20231230_175458181,578.41mm;     0.00mm/s;
20231230_175458288,578.41mm;     0.00mm/s;
20231230_175458339,578.41mm;     0.00mm/s;
20231230_175458440,578.41mm;     0.00mm/s;
20231230_175458542,578.41mm;     0.00mm/s;
